#stripid,cmsswid,FED,CCU,VFE,logicid
147600,872425636,601,27,5,1216012705
147656,872425641,601,21,3,1216012103
147664,872426022,601,27,2,1216012702
147672,872425640,601,27,4,1216012704
147720,872425898,601,21,1,1216012101
147728,872425770,601,21,4,1216012104
147784,872425252,601,26,2,1216012602
147792,872424996,601,26,4,1216012604
147848,872425382,601,26,1,1216012601
147856,872425254,601,26,3,1216012603
147912,872425385,601,20,2,1216012002
147976,872425642,601,21,5,1216012105
147984,872425388,601,20,1,1216012001
148040,872424614,601,25,1,1216012501
148104,872424998,601,26,5,1216012605
148112,872424616,601,25,2,1216012502
148168,872425129,601,20,3,1216012003
148176,872425001,601,20,5,1216012005
148232,872425005,601,20,4,1216012004
148296,872424359,601,25,4,1216012504
148360,872424617,601,19,2,1216011902
148368,872424361,601,19,5,1216011905
148424,872424747,601,19,1,1216011901
148432,872424364,601,19,3,1216011903
148488,872424494,601,12,3,1216011203
148496,872424365,601,19,4,1216011904
148552,872423850,601,18,3,1216011803
148616,872423979,601,18,1,1216011801
148680,872423981,601,18,2,1216011802
148744,872423982,601,11,1,1216011101
148872,872423849,601,18,4,1216011804
148880,872423721,601,18,5,1216011805
148888,872423467,609,1,1,1216090101
149000,872423726,601,11,5,1216011105
149128,872423084,609,1,4,1216090104
149256,872423342,601,10,2,1216011002
149264,872423214,601,10,4,1216011004
155720,872427946,601,24,1,1216012401
155728,872427818,601,24,2,1216012402
155736,872427562,601,24,3,1216012403
155784,872428078,601,17,1,1216011701
155792,872427950,601,17,2,1216011702
155800,872427822,601,17,3,1216011703
155848,872428083,601,9,1,1216010901
155856,872427955,601,9,2,1216010902
155864,872427827,601,9,3,1216010903
155912,872427960,601,2,1,1216010201
155920,872427832,601,2,2,1216010202
155928,872427579,601,2,3,1216010203
155976,872427563,601,24,5,1216012405
155984,872427182,601,16,2,1216011602
155992,872427308,601,23,1,1216012301
156040,872427694,601,17,4,1216011704
156048,872427566,601,17,5,1216011705
156056,872427312,601,16,1,1216011601
156104,872427699,601,9,4,1216010904
156112,872427571,601,9,5,1216010905
156120,872427316,601,8,1,1216010801
156168,872427576,601,2,5,1216010205
156176,872427320,601,1,1,1216010101
156184,872427191,601,8,2,1216010802
156232,872427051,601,23,3,1216012303
156240,872426926,601,16,4,1216011604
156248,872426923,601,23,5,1216012305
156256,872426668,601,22,1,1216012201
156296,872427056,601,16,3,1216011603
156304,872426928,601,16,5,1216011605
156312,872426798,601,15,1,1216011501
156360,872427059,601,8,3,1216010803
156368,872426931,601,8,5,1216010805
156376,872426803,601,7,1,1216010701
156424,872427064,601,1,3,1216010103
156432,872426934,601,8,4,1216010804
156440,872426936,601,1,5,1216010105
156448,872426680,602,31,1,1216023101
