#stripid,cmsswid,FED,CCU,VFE
656152,872433864,650,9,2
656200,872435021,649,29,1
656208,872434766,650,4,5
656264,872434380,650,4,2
656272,872434506,650,8,3
656280,872434638,650,4,4
656328,872434121,650,9,5
656336,872434376,650,8,1
656392,872433862,650,15,4
656400,872433991,650,9,4
663624,872432455,650,11,1
663632,872432583,650,11,2
663640,872432713,650,11,3
663688,872432452,650,17,1
663752,872432191,650,25,3
663816,872431804,651,2,4
663824,872432189,650,25,4
663880,872433095,650,10,1
663888,872432711,650,11,4
663896,872432842,650,11,5
663944,872432579,650,17,3
663952,872432710,650,17,4
663960,872432962,650,17,5
664008,872432450,650,17,2
664016,872432447,650,24,1
664024,872432577,650,24,3
664072,872432445,650,24,2
664080,872432443,651,1,2
664136,872433094,650,16,2
664144,872433351,650,10,4
664152,872433476,650,16,4
664200,872433090,650,16,1
664208,872433219,650,16,3
664264,872432831,650,24,5
664272,872433085,650,23,1
664280,872433213,650,23,2
664328,872432702,650,24,4
664336,872432699,651,1,4
664344,872433083,650,31,2
664392,872433730,650,15,1
664400,872433858,650,15,2
664408,872433987,650,15,3
664456,872433344,650,23,4
664464,872433474,650,16,5
664472,872433727,650,22,1
664520,872433341,650,23,3
664528,872433471,650,23,5
664584,872433338,650,31,3
664592,872433468,650,31,5
671816,872431800,651,2,1
671824,872431929,651,2,2
671832,872432058,651,2,3
671880,872431795,651,9,1
671888,872431923,651,9,2
671896,872432051,651,9,3
671944,872431790,651,17,1
671952,872431918,651,17,2
671960,872432046,651,17,3
672008,872431786,651,24,1
672016,872431915,651,24,2
672024,872432044,651,24,3
672072,872432184,651,2,5
672080,872432440,651,1,1
672088,872432438,651,8,2
672136,872432179,651,9,4
672144,872432307,651,9,5
672152,872432435,651,8,1
672200,872432174,651,17,4
672208,872432302,651,17,5
672216,872432432,651,16,1
672264,872432172,651,24,5
672272,872432430,651,16,2
672280,872432427,651,23,1
672328,872432570,651,1,3
672336,872432694,651,8,4
672344,872432825,651,1,5
672352,872433080,650,31,1
672392,872432563,651,8,3
672400,872432820,651,8,5
672408,872433075,651,7,1
672456,872432562,651,16,3
672464,872432817,651,16,5
672472,872433070,651,15,1
672520,872432555,651,23,3
672528,872432687,651,16,4
672536,872432812,651,23,5
672544,872433067,651,22,1
672584,872433207,651,7,4
672592,872433336,650,31,4
672648,872433203,651,7,2
672656,872433332,651,7,3
672712,872433199,651,15,2
672720,872433328,651,15,3
672776,872433198,651,15,4
672784,872433324,651,22,4
680008,872431785,651,24,4
680016,872432167,651,34,2
680072,872432164,651,34,1
680136,872432415,651,30,1
680200,872432410,651,33,1
680208,872432538,651,33,2
680216,872432666,651,33,3
680264,872432425,651,23,2
680272,872432423,651,29,2
680328,872432420,651,29,1
680336,872432418,651,30,2
680344,872432550,651,29,3
680392,872432545,651,30,3
680400,872432674,651,30,4
680408,872432927,651,30,5
680456,872432669,651,33,4
680464,872432798,651,33,5
680472,872433052,652,13,1
680520,872432682,651,23,4
680528,872432679,651,29,4
680536,872433065,651,22,2
680584,872432804,651,29,5
680592,872433060,651,28,1
680600,872433188,651,28,2
680648,872433056,651,32,1
680656,872433186,651,32,3
680712,872433055,651,32,2
680720,872433309,652,13,4
680728,872433439,651,32,4
680776,872433321,651,22,3
680784,872433451,651,22,5
680840,872433318,651,28,3
680848,872433447,651,28,5
680904,872433316,651,28,4
680912,872433442,651,32,5
680920,872433700,651,27,1
680968,872433695,651,31,1
680976,872433824,651,31,2
680984,872433953,651,31,3
688200,872432791,652,14,2
688264,872432789,652,14,3
688272,872433045,652,20,1
688328,872433424,652,14,4
688392,872433678,652,21,2
688456,872433050,652,13,2
688464,872433048,652,20,2
688472,872433306,652,13,3
688520,872433429,652,20,4
688528,872433557,652,20,5
688536,872433686,652,19,1
688544,872433174,652,20,3
688584,872433427,652,14,5
688592,872433685,652,19,3
688600,872433680,652,26,1
688608,872433809,652,26,2
688616,872433940,652,26,4
688648,872433808,652,26,3
688656,872433935,652,21,3
688664,872434065,652,26,5
688672,872434320,652,25,1
688712,872433436,652,13,5
688720,872433691,652,12,1
688728,872433820,652,12,2
688776,872433690,652,12,3
688784,872433689,652,19,2
688840,872433943,652,19,4
688848,872434197,652,19,5
688856,872434326,652,18,1
688904,872434325,652,18,3
688912,872434324,652,25,2
688920,872434580,652,25,4
688968,872433823,651,31,4
688976,872433950,652,12,4
689032,872434075,652,12,5
689040,872434330,652,11,1
689096,872434329,652,18,2
689104,872434458,652,11,3
689160,872434583,652,18,4
689168,872434837,652,18,5
689176,872434966,652,17,1
696392,872434315,652,27,1
696400,872434313,652,21,4
696456,872434569,652,21,5
696520,872434950,652,31,1
696528,872435078,652,31,2
696536,872435208,652,31,4
696584,872435590,652,29,2
696648,872434447,652,27,3
696656,872434701,652,27,4
696664,872434318,652,27,2
696672,872434448,652,25,3
696712,872434699,652,27,5
696720,872434955,652,30,1
696728,872435084,652,30,2
696776,872435081,652,31,3
696784,872435211,652,30,4
696792,872435337,652,31,5
696840,872435592,652,29,1
696848,872435722,652,29,3
696856,872435975,652,29,4
696904,872434705,652,25,5
696912,872434960,652,24,1
696968,872434959,652,30,3
696976,872435088,652,24,3
696984,872435344,652,24,4
697032,872435341,652,30,5
697040,872435595,652,28,1
697048,872435724,652,28,2
697096,872435723,652,28,3
697104,872435980,652,28,5
697160,872434965,652,17,3
697168,872434964,652,24,2
697224,872435347,652,24,5
697232,872435601,652,23,1
697288,872435600,652,23,2
697296,872435857,652,23,3
697304,872435986,652,23,5
697352,872435855,652,28,4
697360,872436240,652,22,2
697368,872436237,653,25,1
704584,872436228,653,27,1
704648,872436485,653,27,2
704656,872436865,653,37,1
704712,872436993,653,37,2
704720,872437121,653,37,3
704728,872437250,653,37,5
704776,872437505,653,41,1
704784,872437635,653,41,3
704792,872437890,653,41,5
704840,872435974,652,29,5
704848,872436230,653,26,1
704856,872436360,653,26,3
704904,872436614,653,26,5
704912,872436870,653,36,1
704968,872437126,653,36,4
704976,872437125,653,37,4
704984,872437510,653,40,1
705032,872437508,653,41,2
705040,872437766,653,40,4
705048,872437765,653,41,4
705096,872436235,653,25,2
705104,872436233,653,26,2
705112,872436492,653,25,4
705160,872436616,653,26,4
705168,872436875,653,35,2
705176,872436873,653,36,2
705224,872437131,653,35,4
705232,872437127,653,36,3
705240,872437257,653,36,5
705248,872437513,653,40,2
705288,872437515,653,39,2
705296,872437768,653,40,3
705304,872437898,653,40,5
705352,872436366,653,25,3
705360,872436622,653,25,5
705416,872436877,653,35,1
705424,872437007,653,35,3
705480,872437261,653,35,5
705488,872437516,653,39,1
705544,872437644,653,39,3
705552,872437900,653,39,4
712776,872438145,653,17,5
712784,872438275,653,17,3
712792,872438530,653,17,1
712840,872438785,653,13,5
712848,872438915,653,13,3
712856,872439169,653,13,2
712904,872439297,653,13,1
712912,872439428,653,3,2
712968,872439684,653,3,1
713032,872438150,653,16,4
713040,872438148,653,17,4
713048,872438405,653,17,2
713096,872438534,653,16,1
713104,872438790,653,12,4
713112,872438788,653,13,4
713160,872439174,653,12,1
713168,872439430,653,2,5
713224,872439686,653,2,3
713232,872439816,653,2,1
713240,872440070,654,29,5
713288,872438155,653,15,2
713296,872438151,653,16,5
713304,872438281,653,16,3
713352,872438536,653,16,2
713360,872438795,653,11,4
713368,872438792,653,12,5
713376,872438922,653,12,3
713416,872439052,653,11,2
713424,872439176,653,12,2
713432,872439433,653,2,4
713480,872439435,653,1,4
713488,872439692,653,1,2
713496,872439689,653,2,2
713544,872438156,653,15,4
713552,872438412,653,15,3
713608,872438542,653,15,1
713616,872438797,653,11,5
713672,872438927,653,11,3
713680,872439182,653,11,1
713736,872439437,653,1,5
713744,872439567,653,1,3
720968,872440326,654,29,2
721032,872440710,654,31,4
721040,872440967,654,31,2
721048,872441222,654,31,1
721096,872441353,654,21,5
721160,872441611,654,27,1
721168,872441610,654,21,4
721224,872440457,654,29,1
721232,872440074,654,29,4
721240,872440327,654,29,3
721288,872440715,654,30,4
721296,872440712,654,31,5
721304,872440842,654,31,3
721352,872440972,654,30,2
721360,872441102,654,30,1
721368,872441355,654,27,5
721416,872441358,654,27,4
721424,872441488,654,25,3
721432,872441612,654,27,3
721440,872441741,654,27,2
721480,872440075,654,28,5
721488,872440205,654,28,3
721544,872440334,654,28,2
721552,872440587,654,28,1
721560,872440717,654,30,5
721608,872440720,654,24,4
721616,872440847,654,30,3
721624,872440976,654,24,3
721672,872441106,654,24,1
721680,872441360,654,25,5
721736,872439696,654,22,2
721744,872439821,653,1,1
721752,872440078,654,28,4
721800,872440080,654,23,5
721808,872440210,654,23,3
721816,872440339,654,23,2
721864,872440467,654,23,1
721872,872440722,654,24,5
721928,872440853,654,17,3
721936,872440979,654,24,2
729160,872442254,654,21,2
729224,872442640,654,14,4
729288,872443285,654,14,3
729296,872442901,654,20,1
729352,872443288,654,14,2
729416,872442256,654,26,2
729424,872441746,654,25,1
729432,872442000,654,26,5
729440,872441998,654,21,3
729448,872442128,654,26,4
729480,872442642,654,14,5
729488,872442133,654,19,3
729496,872442388,654,26,1
729504,872442258,654,26,3
729544,872442902,654,20,3
729552,872442773,654,20,4
729560,872442645,654,20,5
729568,872442390,654,19,1
729608,872443034,654,13,2
729616,872442905,654,20,2
729624,872442778,654,13,3
729672,872441363,654,25,4
729680,872441493,654,18,3
729688,872441619,654,25,2
729736,872442134,654,19,4
729744,872442005,654,19,5
729752,872441751,654,18,1
729800,872442138,654,12,3
729808,872442264,654,19,2
729864,872442650,654,13,5
729872,872442398,654,12,1
729880,872442268,654,12,2
729928,872441110,654,17,1
729936,872441365,654,18,5
729992,872441624,654,18,2
730000,872441498,654,11,3
730008,872441368,654,18,4
730056,872442010,654,12,5
730064,872441756,654,11,1
730120,872442015,646,31,4
730128,872442013,654,12,4
737352,872443802,646,33,1
737360,872443674,646,33,2
737368,872443290,646,33,3
737416,872443679,646,30,1
737480,872443940,646,34,1
737544,872443945,646,24,4
737552,872443942,646,34,2
737608,872443037,654,13,1
737616,872443420,646,33,4
737624,872443291,646,33,5
737672,872443552,646,30,3
737680,872443423,646,30,4
737688,872443295,646,30,5
737736,872443685,646,29,1
737744,872443427,646,30,2
737752,872443429,646,29,3
737800,872443561,646,23,2
737808,872443560,646,29,2
737864,872442911,646,32,2
737872,872442654,654,13,4
737880,872442655,646,32,4
737928,872443043,646,32,1
737936,872442913,646,32,3
737992,872443300,646,29,5
738000,872443172,646,28,1
738008,872443044,646,28,2
738056,872443305,646,23,4
738064,872443303,646,29,4
738072,872443049,646,22,2
738120,872442527,646,31,1
738128,872442275,646,31,2
738136,872442145,646,31,3
738184,872442660,646,28,4
738192,872442657,646,32,5
738200,872442404,646,27,1
738248,872442791,646,28,3
738256,872442662,646,28,5
738312,872442794,646,22,3
738320,872442665,646,22,5
745544,872442286,646,14,2
745552,872442285,646,21,1
745608,872442671,646,15,5
745616,872442417,646,14,1
745672,872442675,646,7,5
745680,872442419,646,6,1
745736,872442296,647,30,2
745744,872442295,646,6,2
745800,872441774,646,13,2
745808,872442030,646,14,4
745864,872442162,646,14,3
