#stripid,cmsswid,FED,TT,VFE
323688,838904361,612,65,5
323720,838902318,612,66,1
323728,838902830,612,66,2
323736,838903342,612,66,3
323744,838903854,612,66,4
323752,838904366,612,66,5
323784,838902323,612,67,1
323792,838902835,612,67,2
323800,838903347,612,67,3
323808,838903859,612,67,4
323816,838904371,612,67,5
323848,838902328,612,68,1
323856,838902840,612,68,2
323864,838903352,612,68,3
323872,838903864,612,68,4
323880,838904376,612,68,5
327816,838863426,613,2,1
327824,838862914,613,2,2
327832,838862402,613,2,3
327840,838861890,613,2,4
327848,838861378,613,2,5
327880,838863431,613,3,1
327888,838862919,613,3,2
327896,838862407,613,3,3
327904,838861895,613,3,4
327912,838861383,613,3,5
327944,838863436,613,4,1
327952,838862924,613,4,2
327960,838862412,613,4,3
327968,838861900,613,4,4
327976,838861388,613,4,5
328008,838865981,613,5,1
328016,838865469,613,5,2
328024,838864957,613,5,3
328032,838864445,613,5,4
328040,838863933,613,5,5
328072,838865986,613,6,1
328080,838865474,613,6,2
328088,838864962,613,6,3
328096,838864450,613,6,4
328104,838863938,613,6,5
328136,838865991,613,7,1
328144,838865479,613,7,2
328152,838864967,613,7,3
328160,838864455,613,7,4
328168,838863943,613,7,5
328200,838865996,613,8,1
328208,838865484,613,8,2
328216,838864972,613,8,3
328224,838864460,613,8,4
328232,838863948,613,8,5
328264,838868541,613,9,1
328272,838868029,613,9,2
328280,838867517,613,9,3
328288,838867005,613,9,4
328296,838866493,613,9,5
328328,838868546,613,10,1
328336,838868034,613,10,2
328344,838867522,613,10,3
328352,838867010,613,10,4
328360,838866498,613,10,5
328392,838868551,613,11,1
328400,838868039,613,11,2
328408,838867527,613,11,3
328416,838867015,613,11,4
328424,838866503,613,11,5
328456,838868556,613,12,1
328464,838868044,613,12,2
328472,838867532,613,12,3
328480,838867020,613,12,4
328488,838866508,613,12,5
328520,838869053,613,13,1
328528,838869565,613,13,2
328536,838870077,613,13,3
328544,838870589,613,13,4
328552,838871101,613,13,5
328584,838869058,613,14,1
328592,838869570,613,14,2
328600,838870082,613,14,3
328608,838870594,613,14,4
